Sample_ID,Day,Condition,Condition_Code,Temperature,Oil_Coated,Wet_Cotton,Color,Hardness,Moisture,Surface_Shine,Yellowing,Browning,Brown_Spots,White_Spots,Wrinkling,Shriveling,Mold,Odor,Freshness,Spoilage_Level,Shelf_Life_Remaining,Image_Name,Image_Path,Remarks
L001,1,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil+Cotton_Day-1.png,images\Oil+Cotton_Day-1.png,
L002,1,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-1.png,images\Oil_Day-1.png,
L003,1,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-1.png,images\Fridge_Day-1.png,
L004,1,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-1.png,images\Room_Day-1.png,
L005,1,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-1.png,images\Cotton_Day-1.png,
L006,2,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil+Cotton_Day-2.png,images\Oil+Cotton_Day-2.png,
L007,2,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-2.png,images\Oil_Day-2.png,
L008,2,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-2.png,images\Fridge_Day-2.png,
L009,2,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-2.png,images\Room_Day-2.png,
L010,2,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-2.png,images\Cotton_Day-2.png,
L011,3,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil+Cotton_Day-3.png,images\Oil+Cotton_Day-3.png,
L012,3,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-3.png,images\Oil_Day-3.png,
L013,3,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-3.png,images\Fridge_Day-3.png,
L014,3,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-3.png,images\Room_Day-3.png,
L015,3,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-3.png,images\Cotton_Day-3.png,
L016,4,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil+Cotton_Day-4.png,images\Oil+Cotton_Day-4.png,
L017,4,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-4.png,images\Oil_Day-4.png,
L018,4,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-4.png,images\Fridge_Day-4.png,
L019,4,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-4.png,images\Room_Day-4.png,
L020,4,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-4.png,images\Cotton_Day-4.png,
L021,5,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil+Cotton_Day-5.png,images\Oil+Cotton_Day-5.png,
L022,5,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-5.png,images\Oil_Day-5.png,
L023,5,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-5.png,images\Fridge_Day-5.png,
L024,5,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-5.png,images\Room_Day-5.png,
L025,5,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-5.png,images\Cotton_Day-5.png,
L026,6,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil+Cotton_Day-6.png,images\Oil+Cotton_Day-6.png,
L027,6,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-6.png,images\Oil_Day-6.png,
L028,6,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-6.png,images\Fridge_Day-6.png,
L029,6,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-6.png,images\Room_Day-6.png,
L030,6,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-6.png,images\Cotton_Day-6.png,
L031,7,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil+Cotton_Day-7.png,images\Oil+Cotton_Day-7.png,
L032,7,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-7.png,images\Oil_Day-7.png,
L033,7,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-7.png,images\Fridge_Day-7.png,
L034,7,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-7.png,images\Room_Day-7.png,
L035,7,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-7.png,images\Cotton_Day-7.png,
L036,8,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil+Cotton_Day-8.png,images\Oil+Cotton_Day-8.png,
L037,8,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-8.png,images\Oil_Day-8.png,
L038,8,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-8.png,images\Fridge_Day-8.png,
L039,8,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-8.png,images\Room_Day-8.png,
L040,8,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-8.png,images\Cotton_Day-8.png,
L041,9,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-9.png,images\Oil_Day-9.png,
L042,9,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-9.png,images\Fridge_Day-9.png,
L043,9,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-9.png,images\Room_Day-9.png,
L044,9,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-9.png,images\Cotton_Day-9.png,
L045,10,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-10.png,images\Oil_Day-10.png,
L046,10,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-10.png,images\Fridge_Day-10.png,
L047,10,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-10.png,images\Room_Day-10.png,
L048,10,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-10.png,images\Cotton_Day-10.png,
L049,11,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-11.png,images\Oil_Day-11.png,
L050,11,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-11.png,images\Fridge_Day-11.png,
L051,11,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-11.png,images\Room_Day-11.png,
L052,11,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-11.png,images\Cotton_Day-11.png,
L053,12,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-12.png,images\Oil_Day-12.png,
L054,12,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-12.png,images\Fridge_Day-12.png,
L055,12,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-12.png,images\Room_Day-12.png,
L056,12,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-12.png,images\Cotton_Day-12.png,
L057,13,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-13.png,images\Oil_Day-13.png,
L058,13,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-13.png,images\Fridge_Day-13.png,
L059,13,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-13.png,images\Room_Day-13.png,
L060,13,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-13.png,images\Cotton_Day-13.png,
L061,14,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-14.png,images\Oil_Day-14.png,
L062,14,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-14.png,images\Fridge_Day-14.png,
L063,14,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-14.png,images\Room_Day-14.png,
L064,14,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-14.png,images\Cotton_Day-14.png,
L065,15,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-15.png,images\Oil_Day-15.png,
L066,15,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-15.png,images\Fridge_Day-15.png,
L067,15,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-15.png,images\Room_Day-15.png,
L068,15,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-15.png,images\Cotton_Day-15.png,
L069,16,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-16.png,images\Oil_Day-16.png,
L070,16,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-16.png,images\Fridge_Day-16.png,
L071,16,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-16.png,images\Room_Day-16.png,
L072,16,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-16.png,images\Cotton_Day-16.png,
L073,17,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-17.png,images\Oil_Day-17.png,
L074,17,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-17.png,images\Fridge_Day-17.png,
L075,17,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-17.png,images\Room_Day-17.png,
L076,17,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-17.png,images\Cotton_Day-17.png,
L077,18,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-18.png,images\Fridge_Day-18.png,
L078,18,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-18.png,images\Room_Day-18.png,
L079,18,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-18.png,images\Cotton_Day-18.png,
L080,19,Oil Coated,2,Room,1,0,,,,,,,,,,,,,,,,Oil_Day-19.png,images\Oil_Day-19.png,
L081,19,Refrigerator,1,Refrigerated,0,0,,,,,,,,,,,,,,,,Fridge_Day-19.png,images\Fridge_Day-19.png,
L082,19,Room Temperature,0,Room,0,0,,,,,,,,,,,,,,,,Room_Day-19.png,images\Room_Day-19.png,
L083,19,Wet Cotton,3,Room,0,1,,,,,,,,,,,,,,,,Cotton_Day-19.png,images\Cotton_Day-19.png,
